"s","F_direct","F_isdlt"
0,0.1845,0.4035
0.4,0.1845,0.4767
0.8,0.5491,0.5962
1.2,0.6677,0.6918
1.6,0.7427,0.7642
2,0.868,0.8409
2.4,0.931,0.8899
2.8,0.9602,0.9182
3.2,0.9737,0.9352
3.6,0.9857,0.9465
4,0.9902,0.9516
4.4,0.9947,0.9537
4.8,0.9955,0.9545
5.2,0.9977,0.9549
5.6,0.9985,0.9553
6,0.9985,0.9554
6.4,0.9985,0.9555
6.8,0.9985,0.9556
7.2,0.9985,0.9557
7.6,0.9985,0.9557
8,0.9985,0.9558
8.4,0.9985,0.9559
8.8,0.9985,0.9559
9.2,0.9985,0.9559
9.6,0.9985,0.9559
10,0.9985,0.9559
10.4,0.9985,0.9559
10.8,0.9985,0.9559
11.2,0.9985,0.9559
11.6,0.9985,0.9559
12,0.9985,0.9559
12.4,0.9985,0.9559
12.8,0.9985,0.9559
13.2,0.9985,0.9559
13.6,0.9985,0.9559
14,0.9992,0.9559
14.4,0.9992,0.9559
14.8,0.9992,0.9559
15.2,0.9992,0.9559
15.6,0.9992,0.9559
16,0.9992,0.9559
16.4,0.9992,0.9559
16.8,0.9992,0.9559
17.2,0.9992,0.9559
17.6,0.9992,0.9559
18,0.9992,0.9559
18.4,0.9992,0.9559
18.8,0.9992,0.9559
19.2,0.9992,0.9559
19.6,0.9992,0.9559
20,0.9992,0.9559
20.4,0.9992,0.9559
20.8,0.9992,0.9559
21.2,0.9992,0.9559
21.6,0.9992,0.9559
22,0.9992,0.9559
22.4,0.9992,0.9559
22.8,0.9992,0.9559
